งวดวันที่,รางวัลที่ 1,เลขหน้า 3ตัว,เลขท้าย 3 ตัว,เลขท้าย 2 ตัว
1 มิถุนายน 2563,831567,264 489,562 582,24
1 เมษายน 2563,51095,285 430,191 364,22
16 มีนาคม 2563,503446,258 726,404 661,77
1 มีนาคม 2563,875938,294 328,780 597,98
16 กุมภาพันธ์ 2563,781403,952 515,918 030,94
1 กุมภาพันธ์ 2563,589227,259 552,375 927,6
17 มกราคม 2563,491774,132 004,379 595,68
30 ธันวาคม 2562,510541,116 382,140 250,81
16 ธันวาคม 2562,529924,138 043,555 665,97
1 ธันวาคม 2562,453522,617 261,457 013,81
16 พฤศจิกายน 2562,17223,640 164,085 194,32
1 พฤศจิกายน 2562,967375,806 323,206 021,79
16 ตุลาคม 2562,812564,255 625,132 598,15
1 ตุลาคม 2562,691197,392 920,606 797,59
16 กันยายน 2562,340388,947 733,925 939,85
1 กันยายน 2562,798787,210 847,274 439,20
16 สิงหาคม 2562,775476,149 912,580 563,89
1 สิงหาคม 2562,387006,135 983,562 795,58
15 กรกฎาคม 2562,369765,901 355,113 556,88
1 กรกฎาคม 2562,943647,239 864,375 006,86
16 มิถุนายน 2562,174055,625 884,800 127,29
1 มิถุนายน 2562,516461,713 589,215 560,46
16 พฤษภาคม 2562,962526,949 669,018 828,71
2 พฤษภาคม 2562,61324,043 476,699 374,25
16 เมษายน 2562,570331,930 512,966 968,23
1 เมษายน 2562,109767,888 959,403 975,52
16 มีนาคม 2562,724628,883 148,877 154,64
1 มีนาคม 2562,345650,137 999,830 837,65
16 กุมภาพันธ์ 2562,74824,910 881,612 879,56
1 กุมภาพันธ์ 2562,967134,779 643,948 197,4
17 มกราคม 2562,197079,206 412,660 127,65
30 ธันวาคม 2561,735867,913 031,884 701,2
16 ธันวาคม 2561,356564,480 948,369 297,62
1 ธันวาคม 2561,21840,307 045,561 988,67
16 พฤศจิกายน 2561,989903,930 471,140 876,16
1 พฤศจิกายน 2561,149840,576 384,509 046,58
16 ตุลาคม 2561,200515,186 392,192 212,93
1 ตุลาคม 2561,452643,726 594,561 810,99
16 กันยายน 2561,149760,323 539,155 297,79
1 กันยายน 2561,734510,464 512,202 097,26
16 สิงหาคม 2561,586117,340 670,591 815,10
1 สิงหาคม 2561,386602,832 903,549 726,78
16 กรกฎาคม 2561,596324,403 530,362 138,27
1 กรกฎาคม 2561,963623,429 901,210 217,83
16 มิถุนายน 2561,223131,507 432,132 868,46
1 มิถุนายน 2561,988117,310 553,650 248,95
16 พฤษภาคม 2561,75629,357 130,506 047,20
2 พฤษภาคม 2561,248038,527 980,602 225,85
16 เมษายน 2561,739229,654 273,526 076,60
1 เมษายน 2561,412073,787 131,924 638,85
16 มีนาคม 2561,218559,064 720,205 489,82
2 มีนาคม 2561,759415,318 870,589 723,29
16 กุมภาพันธ์ 2561,309915,007 388,748 230,39
1 กุมภาพันธ์ 2561,26853,106 947,181 519,31
17 มกราคม 2561,203823,624 799,236 397,50
30 ธันวาคม 2560,911234,373 495,953 504,98
16 ธันวาคม 2560,955596,616 836,938 290,89
1 ธันวาคม 2560,451005,626 303,257 601,33
16 พฤศจิกายน 2560,292391,831 961,628 477,98
1 พฤศจิกายน 2560,533726,425 165,036 485,85
16 ตุลาคม 2560,413494,180 971,287 128,86
1 ตุลาคม 2560,880714,726 611,952 462,52
